
 num     #instances         #bytes  class name
 318:           207           3312  com.sun.proxy.$Proxy7
 319:           137           3288  java.security.Provider$ServiceKey
 320:           137           3288  scala.reflect.internal.Types$UniqueThisType
 321:           156           3232  [Lsun.reflect.generics.tree.ClassTypeSignature;
 322:           100           3200  java.io.ObjectStreamClass$WeakClassKey
 323:           100           3200  org.eclipse.jetty.util.IncludeExclude
 324:            71           3168  [Ljava.lang.invoke.LambdaForm$Name;
 325:            66           3168  java.lang.invoke.LambdaForm
 326:            79           3160  scala.reflect.internal.Trees$Ident
 327:           131           3144  java.util.concurrent.locks.ReentrantReadWriteLock
 328:            98           3136  org.apache.spark.internal.config.ConfigBuilder
 329:           196           3136  sun.reflect.generics.tree.TypeVariableSignature
 330:           128           3072  org.eclipse.jetty.io.ArrayByteBufferPool$Bucket
 331:           126           3024  org.jvnet.hk2.internal.ClazzCreator$ResolutionInfo
 332:           125           3000  com.twitter.chill.TraversableSerializer
 333:            93           2976  org.apache.log4j.ProvisionNode
 334:           122           2928  java.util.Collections$UnmodifiableList
 335:            28           2912  [Ljava.lang.invoke.MethodHandle;
 336:            91           2912  java.net.InetAddress$InetAddressHolder
 337:            91           2912  java.util.regex.Pattern$Branch
 338:            33           2904  com.fasterxml.jackson.databind.ser.BeanPropertyWriter
 339:           104           2880  [Lorg.apache.kafka.common.protocol.types.Field;
 340:            90           2880  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 341:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 342:            51           2856  scala.reflect.runtime.JavaMirrors$JavaMirror$FromJavaClassCompleter
 343:            50           2800  java.beans.MethodDescriptor
 344:            87           2784  com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder$Linked
 345:           137           2768  [Lsun.reflect.generics.tree.FieldTypeSignature;
 346:           173           2768  java.util.regex.Pattern$Dot
 347:            69           2760  java.io.ObjectStreamClass$FieldReflector
 348:            69           2760  java.io.ObjectStreamClass$FieldReflectorKey
 349:           115           2760  java.util.regex.Pattern$BitClass
 350:            49           2744  java.lang.invoke.MethodTypeForm
 351:             1           2720  [Lscala.reflect.NameTransformer$OpCodes;
 352:           170           2720  com.esotericsoftware.kryo.factories.ReflectionSerializerFactory
 353:             5           2640  [Lorg.glassfish.jersey.internal.util.collection.ConcurrentHashMapV8$Node;
 354:            55           2640  com.esotericsoftware.kryo.serializers.UnsafeCacheFields$UnsafeBooleanField
 355:            55           2640  org.glassfish.hk2.utilities.InjecteeImpl
 356:            82           2624  java.security.Permissions
 357:            51           2616  [Ljavax.management.MBeanAttributeInfo;
 358:            25           2600  org.eclipse.jetty.servlets.gzip.GzipHandler
 359:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 360:            80           2560  java.io.FilePermission
 361:            64           2560  org.eclipse.jetty.http.HttpHeader
 362:            13           2528  [[Ljava.lang.String;
 363:            79           2528  java.security.BasicPermissionCollection
 364:            21           2520  org.glassfish.hk2.internal.ConstantActiveDescriptor
 365:           104           2496  org.apache.kafka.common.metrics.JmxReporter$KafkaMbean
 366:           104           2496  org.apache.kafka.common.protocol.types.Schema
 367:           104           2496  scala.collection.immutable.Map$Map1
 368:            62           2480  sun.misc.FloatingDecimal$BinaryToASCIIBuffer
 369:           103           2472  org.jvnet.hk2.internal.IndexedListData
 370:           102           2448  java.util.regex.Pattern$Start
 371:           102           2448  javax.ws.rs.core.MediaType
 372:           102           2448  org.eclipse.jetty.http.HttpField
 373:            50           2400  javax.management.MBeanInfo
 374:           100           2400  scala.collection.immutable.MapLike$$anon$2
 375:           100           2400  scala.collection.mutable.LinkedList
